"restaurant_name","restaurant_url","restaurant_user_name","restaurant_user_review"
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Janie Sue O.","Last Thursday, my boyfriend and I decided to grab some appetizers and drinks at Solo before heading to an event at the Seattle Center. What an eclectic little treasure trove. We ordered The Roy Street Platter, which was a delightful charcuterie board of sliced meats, cheese, spiced nuts, house pickled veggies, fresh fruit and rosemary crackers. We also ordered the Mezza Plate, which was hummus, tzatziki, watercress & shallot spread, dolmas, feta cheese, grilled pita, cucumbers and house pickles. My goodness, the portions were ample and satisfying. The bartender was super cool, attentive and played decent music. We plan on returning when we're not rushed by the timing of an event."
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Tammy Y.","What a little gem of a lounge restaurant! We had dinner here before our annual Nutcracker ballet show and were pleasantly surprised at how good the food was and how casual the setting was. I have walked by here so many times and the last time we tried to eat here it was closed for a private event. I'm so glad we finally got to give it a try. It is very low-key and unassuming, but don't underestimate the quality of the food and drink! The three of us enjoyed our pre-show meal and only had to walk two blocks to the performance. I will add this to my short list of favorite places to eat in Queen Anne especially when going to shows at the Rep or McCaw Hall!"
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Ryen B.","So much to love about this place. Friendly staff, cool vibe that feels more like a coffee shop/bar than a restaurant. Solo serves really tasty food with lots of healthy options and cocktails that ensure you balance good and evil. ;-)
+ Fancy Nancy cocktail with gin and aperol was perfectly balanced, light, refreshing
+ Pickles were a colorful mix of fruits and veggies that all had a unique taste- recommend as a starter to share
+ House salad was a large pile of fresh greens with tasty dressing
+ Baked sweet potato- oh my, sweet and tender, topped with cumin scented lentils and sliced avocado.
Definitely recommend!"
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Teresita C.","Parking is tough but don't let that dissuade you from trying of Solo on for size. Happy hour appears to be a popular time and the place was hoppin'.
It was the first time for my friend and I and she got the ""Forager"" and me the ""Sweet Potato."" We both really enjoyed our dishes minus a temperature issue. My potato dish was scrumptious but lukewarm. If it was piping hot and service wasn't excruciatingly slow this place would definitely get four stars. Our server disappeared to go on a smoke break, never offered another glass of wine after the first and pretty much just went on his merry way. I understand that Solo is very chill and laid back but a little more service and we'd be in the four-star zone."
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Suejung J.","In town for an event and dipped out to find food really quick since we're starving, the menu at Solo looked great so we decided to check it out. It looked like there was a show going and the doors are right by the stage instead of in the back by the bar, we decide to go in and find staff to see if we can still order and are met with staff chastising us because the door says there's an event going on. Sure, the sign said there was an event in progress and we read it, it didn't say the place was closed off entirely. We'd never been there before and were hoping we could still get food at the bar or somewhere in the back. Their sign didn't speak in absolutes, but even if it did the condescending tone wasn't appreciated and killed our desire to come back and try the food another time."
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Kate D.","Food was awesome! Lots of vegetarian options! Wait staff was pretty slow though, so don't expect refills. The vibe was pretty easy going, DJ in the corner, but not too loud."
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Stephanie P.","Why are there so few happy hour offerings in the immediate vicinity of the Seattle Center? Don't people want somewhere nice to have a drink and a snack before the ballet, or the opera, or other evening events? It's a mystery for the ages, but I'm pleased to say that Solo Bar has become a dependable, if quirky, happy hour spot in Lower Queen Anne.
I'll be the first to admit that the space feels a little strange when you walk in. The tables are oddly far apart, there's a low stage with a couch and coffee tables that juts into the room, and some more awkwardly low couch seating in a corner. It definitely feels like a wall was knocked down to join two separate spaces, and some odd partitions and internal walls remain, which break up the room strangely. If the weirdness is too much, just sit at the bar, which faces away from the room and its distracting use of space! Most of the tables are small four-tops, so it's easy for staff to push a bunch together for a large group (as we were the first time I was there).
Happy hour goes until 6 pm and has some solid deals: $4.50 wells, specialty cocktails $4-6, and a small selection of wine by the glass, $5-6. There are a few discounted happy hour snacks, too, but I encourage you to check out the regular dinner menu, which is pretty affordable ($8-16) and offers a nice variety of comfort food classics. The lamb meatballs are a shareable appetizer or a good-sized entree for one. My dining companion really liked the meatloaf and mashed potatoes. But the Waldorf quinoa bowl is filling and tasty, and doesn't feel like a sad diet-food sacrifice! There are also some soup and salad, mushroom pate, and veggie pasta options for vegetarians, and gluten-free options.
The specialty cocktails are surprisingly affordable even at regular prices (most are $6-8), so it's no biggie if you miss last call for happy hour. I like the Paper Plane and pear collins, and they have several Moscow mule variations that look intriguing. There's also a short list of nonalcoholic drinks, including cold brew and a virgin pear collins, for you designated drivers.
Service is friendly and welcoming, although it can get scattered during peak times, so you might have to tag your server if you need to get your bill in time for a show. The atmosphere feels casual and relaxed, not pretentious or hipstery at all, and it's often surprisingly chill during happy hour, so don't worry about popping in by yourself for a quiet drink. Solo is quickly becoming my Seattle Center-adjacent go-to bar!"
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Joshua S.","I came here on Sunday, the 23rd, with a friend to celebrate the holidays and have lunch before seeing the ballet. The vibe of the place is really relaxed and inviting. It felt like a really fun place to be. The service was great, drinks and food came out in a timely manner. The server was friendly and helpful with explaining the menu. I really enjoyed everything about dining here.
The issue that I have is that I got food poisoning from their squash pasta. It was delicious when I ate it, but about 90 minutes after I finished eating my stomach began to churn and it continued into an extremely unenjoyable experience. Luckily, my friend had their mac n cheese, which she said was delicious, so she did not get sick. Aside from the bad squash pasta, this is a cool place with a great location. Just be mindful with what you order because it may not sit well."
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Cindy P.","Neat little place with a relaxed Seattle vibe that you'll either love or not love! I imagine if it's super busy it might be a little slow, both food and service, in our case it was timely in both areas.
It was seat yourself when we arrived, which always makes me nervous! It takes attentive staff to properly serve tables they have no idea are seated! The bartender did a great job though, catching all the tables on his continuous circles through the seating area. We stayed awhile so got to see the night staff arriving and the place filling up. The entire staff was super friendly and checked on us regularly.
The wings, the perfect, wings! We ordered several appetizers between the two of us to get a sampling of what they had to offer. Everything was spot on and delicious with some great flavors. The first order of wings was perfection on a plate! Hubby and I gobbled them up pretty fast! We then had to order more, they were that good! Sadly, the second order came out a little under cooked. Same great flavor but definitely needed a few more minutes of heat!
The drinks are creative and tasty with some different combinations and names that make you want to try them. From the food to the service and the window seat sidewalk watching, we'll definitely be back when we're in the neighborhood!"
"Solo","https://www.yelp.com/adredir?ad_business_id=8e3MieLe25mitGD8O9O91A&campaign_id=MeDK1gEqomqvMWDp4kPKgg&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fsolo-seattle&request_id=08690f5522864705&signature=0cce65695678b327ec0c942e31e319c9a6682aab9bdd6e45605dafdefdcf89cb&slot=0","Stella D.","Great spot to have an afternoon hangout with a cool friend. For happy hours, everything is 50% off so I got like 2 bar appetizers and a drink for $15.
The food are all delicious and their drinks are also pretty on point. Their Bloody Mary is awesome. But watch out Ms. Rachel the bartender because she has a heavy hand haha. She tends to give you quite some alcohol in one drink.
A little hip and quirky vibe. Attract a lot of musicians to come here hang out. Overall it is a really cool place!"
